                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.61148,                 1.1561,                 1.7481,                 0.8034,                0.69454,                0.78383,                0.67474,                0.73935,                 1.3305,                  1.858,              0.0037135,              0.0037135,              0.0037135
                    129,                 0.6068,                 1.1334,                 1.7495,                0.78802,                 0.7072,                0.78382,                0.67455,                0.73959,                 1.3295,                  1.858,               0.003664,               0.003664,               0.003664
                    130,                0.60243,                 1.1303,                 1.7448,                0.78949,                0.70878,                0.78413,                0.67465,                0.73927,                 1.3276,                 1.8579,              0.0036145,              0.0036145,              0.0036145
                    131,                0.60049,                 1.1395,                 1.7419,                0.80297,                0.69898,                0.78499,                0.67544,                0.73933,                 1.3277,                  1.858,               0.003565,               0.003565,               0.003565
                    132,                0.59738,                 1.1195,                 1.7396,                0.80629,                0.69882,                0.78542,                0.67533,                0.73885,                 1.3265,                 1.8581,              0.0035155,              0.0035155,              0.0035155
                    133,                0.60403,                 1.1238,                 1.7424,                0.79821,                 0.7059,                 0.7863,                0.67611,                0.73886,                 1.3255,                 1.8583,               0.003466,               0.003466,               0.003466
                    134,                0.59985,                 1.1165,                  1.738,                0.79811,                0.70456,                0.78664,                0.67676,                 0.7386,                 1.3248,                 1.8584,              0.0034165,              0.0034165,              0.0034165
                    135,                0.59589,                 1.0996,                 1.7355,                0.77255,                 0.7279,                0.78714,                0.67725,                0.73876,                 1.3243,                 1.8586,               0.003367,               0.003367,               0.003367
                    136,                0.59217,                  1.115,                 1.7362,                 0.8154,                0.69638,                0.78739,                0.67792,                0.73834,                 1.3244,                 1.8581,              0.0033175,              0.0033175,              0.0033175
                    137,                0.58956,                 1.1023,                 1.7322,                0.81715,                0.69511,                0.78778,                0.67856,                0.73837,                  1.323,                 1.8584,               0.003268,               0.003268,               0.003268
                    138,                0.59426,                 1.1018,                  1.734,                0.81969,                0.69447,                0.78746,                0.67821,                0.73872,                 1.3224,                 1.8592,              0.0032185,              0.0032185,              0.0032185
                    139,                0.58691,                 1.0768,                 1.7283,                0.81487,                0.69941,                0.78782,                0.67878,                0.73853,                 1.3211,                 1.8592,               0.003169,               0.003169,               0.003169
